group_id,architecture_class,rtl_topology,supported_modes,int_w_bits,int_a_bits,fp_sig_width,fp_exp_width,throughput_contract,accumulator_contract,notes,run_id,clock_period_ns,clock_mhz,run_dir,rtl_list,rtl_bundle_sha256
MIXREF_BF16,reference,existing_fp_mac,BF16xBF16,,,7,8,1 FP MAC/cycle,same-format BF16,Repeat existing anchor,MIXREF_BF16__T1p0ns,1.0,1000.0,evidence/baseline/MIXREF_BF16__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
MIXREF_BF16,reference,existing_fp_mac,BF16xBF16,,,7,8,1 FP MAC/cycle,same-format BF16,Repeat existing anchor,MIXREF_BF16__T0p9ns,0.9,1111.111111111111,evidence/baseline/MIXREF_BF16__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SEP_W4A8_FP8,separate,separate_int_fp_reference,W4A8 + FP8xFP8,4,8,3,4,4 INT + 1 FP simultaneous,dual,Both outputs visible,SEP_W4A8_FP8__T2p0ns,2.0,500.0,evidence/baseline/SEP_W4A8_FP8__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SEP_W4A8_FP8,separate,separate_int_fp_reference,W4A8 + FP8xFP8,4,8,3,4,4 INT + 1 FP simultaneous,dual,Both outputs visible,SEP_W4A8_FP8__T1p0ns,1.0,1000.0,evidence/baseline/SEP_W4A8_FP8__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SEP_W4A8_FP8,separate,separate_int_fp_reference,W4A8 + FP8xFP8,4,8,3,4,4 INT + 1 FP simultaneous,dual,Both outputs visible,SEP_W4A8_FP8__T0p9ns,0.9,1111.111111111111,evidence/baseline/SEP_W4A8_FP8__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SEP_W8A8_FP8,separate,separate_int_fp_reference,W8A8 + FP8xFP8,8,8,3,4,4 INT + 1 FP simultaneous,dual,Both outputs visible,SEP_W8A8_FP8__T2p0ns,2.0,500.0,evidence/baseline/SEP_W8A8_FP8__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SEP_W8A8_FP8,separate,separate_int_fp_reference,W8A8 + FP8xFP8,8,8,3,4,4 INT + 1 FP simultaneous,dual,Both outputs visible,SEP_W8A8_FP8__T1p0ns,1.0,1000.0,evidence/baseline/SEP_W8A8_FP8__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SEP_W8A8_FP8,separate,separate_int_fp_reference,W8A8 + FP8xFP8,8,8,3,4,4 INT + 1 FP simultaneous,dual,Both outputs visible,SEP_W8A8_FP8__T0p9ns,0.9,1111.111111111111,evidence/baseline/SEP_W8A8_FP8__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SEP_W4A8_BF16,separate,separate_int_fp_reference,W4A8 + BF16xBF16,4,8,7,8,4 INT + 1 FP simultaneous,dual,Both outputs visible,SEP_W4A8_BF16__T2p0ns,2.0,500.0,evidence/baseline/SEP_W4A8_BF16__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SEP_W4A8_BF16,separate,separate_int_fp_reference,W4A8 + BF16xBF16,4,8,7,8,4 INT + 1 FP simultaneous,dual,Both outputs visible,SEP_W4A8_BF16__T1p0ns,1.0,1000.0,evidence/baseline/SEP_W4A8_BF16__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SEP_W4A8_BF16,separate,separate_int_fp_reference,W4A8 + BF16xBF16,4,8,7,8,4 INT + 1 FP simultaneous,dual,Both outputs visible,SEP_W4A8_BF16__T0p9ns,0.9,1111.111111111111,evidence/baseline/SEP_W4A8_BF16__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SEP_W8A8_BF16,separate,separate_int_fp_reference,W8A8 + BF16xBF16,8,8,7,8,4 INT + 1 FP simultaneous,dual,Both outputs visible,SEP_W8A8_BF16__T2p0ns,2.0,500.0,evidence/baseline/SEP_W8A8_BF16__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SEP_W8A8_BF16,separate,separate_int_fp_reference,W8A8 + BF16xBF16,8,8,7,8,4 INT + 1 FP simultaneous,dual,Both outputs visible,SEP_W8A8_BF16__T1p0ns,1.0,1000.0,evidence/baseline/SEP_W8A8_BF16__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SEP_W8A8_BF16,separate,separate_int_fp_reference,W8A8 + BF16xBF16,8,8,7,8,4 INT + 1 FP simultaneous,dual,Both outputs visible,SEP_W8A8_BF16__T0p9ns,0.9,1111.111111111111,evidence/baseline/SEP_W8A8_BF16__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
DUAL_W4A8_FP8,dual_domain,dual_domain_int_fp_reference,W4A8/FP8,4,8,3,4,4 INT or 1 FP,dual,Measures mux/control only,DUAL_W4A8_FP8__T2p0ns,2.0,500.0,evidence/baseline/DUAL_W4A8_FP8__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
DUAL_W4A8_FP8,dual_domain,dual_domain_int_fp_reference,W4A8/FP8,4,8,3,4,4 INT or 1 FP,dual,Measures mux/control only,DUAL_W4A8_FP8__T1p0ns,1.0,1000.0,evidence/baseline/DUAL_W4A8_FP8__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
DUAL_W4A8_FP8,dual_domain,dual_domain_int_fp_reference,W4A8/FP8,4,8,3,4,4 INT or 1 FP,dual,Measures mux/control only,DUAL_W4A8_FP8__T0p9ns,0.9,1111.111111111111,evidence/baseline/DUAL_W4A8_FP8__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
DUAL_W8A8_FP8,dual_domain,dual_domain_int_fp_reference,W8A8/FP8,8,8,3,4,4 INT or 1 FP,dual,Measures mux/control only,DUAL_W8A8_FP8__T2p0ns,2.0,500.0,evidence/baseline/DUAL_W8A8_FP8__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
DUAL_W8A8_FP8,dual_domain,dual_domain_int_fp_reference,W8A8/FP8,8,8,3,4,4 INT or 1 FP,dual,Measures mux/control only,DUAL_W8A8_FP8__T1p0ns,1.0,1000.0,evidence/baseline/DUAL_W8A8_FP8__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
DUAL_W8A8_FP8,dual_domain,dual_domain_int_fp_reference,W8A8/FP8,8,8,3,4,4 INT or 1 FP,dual,Measures mux/control only,DUAL_W8A8_FP8__T0p9ns,0.9,1111.111111111111,evidence/baseline/DUAL_W8A8_FP8__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
DUAL_W4A8_BF16,dual_domain,dual_domain_int_fp_reference,W4A8/BF16,4,8,7,8,4 INT or 1 FP,dual,Measures mux/control only,DUAL_W4A8_BF16__T2p0ns,2.0,500.0,evidence/baseline/DUAL_W4A8_BF16__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
DUAL_W4A8_BF16,dual_domain,dual_domain_int_fp_reference,W4A8/BF16,4,8,7,8,4 INT or 1 FP,dual,Measures mux/control only,DUAL_W4A8_BF16__T1p0ns,1.0,1000.0,evidence/baseline/DUAL_W4A8_BF16__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
DUAL_W4A8_BF16,dual_domain,dual_domain_int_fp_reference,W4A8/BF16,4,8,7,8,4 INT or 1 FP,dual,Measures mux/control only,DUAL_W4A8_BF16__T0p9ns,0.9,1111.111111111111,evidence/baseline/DUAL_W4A8_BF16__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
DUAL_W8A8_BF16,dual_domain,dual_domain_int_fp_reference,W8A8/BF16,8,8,7,8,4 INT or 1 FP,dual,Measures mux/control only,DUAL_W8A8_BF16__T2p0ns,2.0,500.0,evidence/baseline/DUAL_W8A8_BF16__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
DUAL_W8A8_BF16,dual_domain,dual_domain_int_fp_reference,W8A8/BF16,8,8,7,8,4 INT or 1 FP,dual,Measures mux/control only,DUAL_W8A8_BF16__T1p0ns,1.0,1000.0,evidence/baseline/DUAL_W8A8_BF16__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
DUAL_W8A8_BF16,dual_domain,dual_domain_int_fp_reference,W8A8/BF16,8,8,7,8,4 INT or 1 FP,dual,Measures mux/control only,DUAL_W8A8_BF16__T0p9ns,0.9,1111.111111111111,evidence/baseline/DUAL_W8A8_BF16__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
CONV_I4_FP8,convert_fp,hybrid_convert_fp_mac_dw,I4xFP8/FP8xFP8,4,,3,4,1 FP MAC/cycle,FP8,INT4 conversion exact,CONV_I4_FP8__T2p0ns,2.0,500.0,evidence/baseline/CONV_I4_FP8__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
CONV_I4_FP8,convert_fp,hybrid_convert_fp_mac_dw,I4xFP8/FP8xFP8,4,,3,4,1 FP MAC/cycle,FP8,INT4 conversion exact,CONV_I4_FP8__T1p0ns,1.0,1000.0,evidence/baseline/CONV_I4_FP8__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
CONV_I4_FP8,convert_fp,hybrid_convert_fp_mac_dw,I4xFP8/FP8xFP8,4,,3,4,1 FP MAC/cycle,FP8,INT4 conversion exact,CONV_I4_FP8__T0p9ns,0.9,1111.111111111111,evidence/baseline/CONV_I4_FP8__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
CONV_I8_FP8,convert_fp,hybrid_convert_fp_mac_dw,I8xFP8/FP8xFP8,8,,3,4,1 FP MAC/cycle,FP8,INT8 conversion lossy,CONV_I8_FP8__T2p0ns,2.0,500.0,evidence/baseline/CONV_I8_FP8__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
CONV_I8_FP8,convert_fp,hybrid_convert_fp_mac_dw,I8xFP8/FP8xFP8,8,,3,4,1 FP MAC/cycle,FP8,INT8 conversion lossy,CONV_I8_FP8__T1p0ns,1.0,1000.0,evidence/baseline/CONV_I8_FP8__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
CONV_I8_FP8,convert_fp,hybrid_convert_fp_mac_dw,I8xFP8/FP8xFP8,8,,3,4,1 FP MAC/cycle,FP8,INT8 conversion lossy,CONV_I8_FP8__T0p9ns,0.9,1111.111111111111,evidence/baseline/CONV_I8_FP8__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
CONV_I4_BF16,convert_fp,hybrid_convert_fp_mac_dw,I4xBF16/BF16xBF16,4,,7,8,1 FP MAC/cycle,BF16,INT4 conversion exact,CONV_I4_BF16__T2p0ns,2.0,500.0,evidence/baseline/CONV_I4_BF16__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
CONV_I4_BF16,convert_fp,hybrid_convert_fp_mac_dw,I4xBF16/BF16xBF16,4,,7,8,1 FP MAC/cycle,BF16,INT4 conversion exact,CONV_I4_BF16__T1p0ns,1.0,1000.0,evidence/baseline/CONV_I4_BF16__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
CONV_I4_BF16,convert_fp,hybrid_convert_fp_mac_dw,I4xBF16/BF16xBF16,4,,7,8,1 FP MAC/cycle,BF16,INT4 conversion exact,CONV_I4_BF16__T0p9ns,0.9,1111.111111111111,evidence/baseline/CONV_I4_BF16__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
CONV_I8_BF16,convert_fp,hybrid_convert_fp_mac_dw,I8xBF16/BF16xBF16,8,,7,8,1 FP MAC/cycle,BF16,INT8 conversion exact,CONV_I8_BF16__T2p0ns,2.0,500.0,evidence/baseline/CONV_I8_BF16__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
CONV_I8_BF16,convert_fp,hybrid_convert_fp_mac_dw,I8xBF16/BF16xBF16,8,,7,8,1 FP MAC/cycle,BF16,INT8 conversion exact,CONV_I8_BF16__T1p0ns,1.0,1000.0,evidence/baseline/CONV_I8_BF16__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
CONV_I8_BF16,convert_fp,hybrid_convert_fp_mac_dw,I8xBF16/BF16xBF16,8,,7,8,1 FP MAC/cycle,BF16,INT8 conversion exact,CONV_I8_BF16__T0p9ns,0.9,1111.111111111111,evidence/baseline/CONV_I8_BF16__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SHARED_NATIVE_INT_FP8_DUALACC,shared_native,hybrid_shared_mul_dual_acc,I4/I8/FP8 pairs,8,8,3,4,1 common product/cycle,INT40 + FP32,Native shared product,SHARED_NATIVE_INT_FP8_DUALACC__T2p0ns,2.0,500.0,evidence/baseline/SHARED_NATIVE_INT_FP8_DUALACC__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SHARED_NATIVE_INT_FP8_DUALACC,shared_native,hybrid_shared_mul_dual_acc,I4/I8/FP8 pairs,8,8,3,4,1 common product/cycle,INT40 + FP32,Native shared product,SHARED_NATIVE_INT_FP8_DUALACC__T1p0ns,1.0,1000.0,evidence/baseline/SHARED_NATIVE_INT_FP8_DUALACC__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SHARED_NATIVE_INT_FP8_DUALACC,shared_native,hybrid_shared_mul_dual_acc,I4/I8/FP8 pairs,8,8,3,4,1 common product/cycle,INT40 + FP32,Native shared product,SHARED_NATIVE_INT_FP8_DUALACC__T0p9ns,0.9,1111.111111111111,evidence/baseline/SHARED_NATIVE_INT_FP8_DUALACC__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SHARED_NATIVE_INT_BF16_DUALACC,shared_native,hybrid_shared_mul_dual_acc,I4/I8/BF16 pairs,8,8,7,8,1 common product/cycle,INT40 + FP32,Native shared product,SHARED_NATIVE_INT_BF16_DUALACC__T2p0ns,2.0,500.0,evidence/baseline/SHARED_NATIVE_INT_BF16_DUALACC__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SHARED_NATIVE_INT_BF16_DUALACC,shared_native,hybrid_shared_mul_dual_acc,I4/I8/BF16 pairs,8,8,7,8,1 common product/cycle,INT40 + FP32,Native shared product,SHARED_NATIVE_INT_BF16_DUALACC__T1p0ns,1.0,1000.0,evidence/baseline/SHARED_NATIVE_INT_BF16_DUALACC__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SHARED_NATIVE_INT_BF16_DUALACC,shared_native,hybrid_shared_mul_dual_acc,I4/I8/BF16 pairs,8,8,7,8,1 common product/cycle,INT40 + FP32,Native shared product,SHARED_NATIVE_INT_BF16_DUALACC__T0p9ns,0.9,1111.111111111111,evidence/baseline/SHARED_NATIVE_INT_BF16_DUALACC__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SHARED_NATIVE_ALL_DUALACC,shared_native,hybrid_shared_mul_dual_acc,I4/I8/FP8/BF16 pairs,8,8,7,8,1 common product/cycle,INT40 + FP32,All formats,SHARED_NATIVE_ALL_DUALACC__T2p0ns,2.0,500.0,evidence/baseline/SHARED_NATIVE_ALL_DUALACC__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SHARED_NATIVE_ALL_DUALACC,shared_native,hybrid_shared_mul_dual_acc,I4/I8/FP8/BF16 pairs,8,8,7,8,1 common product/cycle,INT40 + FP32,All formats,SHARED_NATIVE_ALL_DUALACC__T1p0ns,1.0,1000.0,evidence/baseline/SHARED_NATIVE_ALL_DUALACC__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
SHARED_NATIVE_ALL_DUALACC,shared_native,hybrid_shared_mul_dual_acc,I4/I8/FP8/BF16 pairs,8,8,7,8,1 common product/cycle,INT40 + FP32,All formats,SHARED_NATIVE_ALL_DUALACC__T0p9ns,0.9,1111.111111111111,evidence/baseline/SHARED_NATIVE_ALL_DUALACC__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
ARRAY4_SEP_W4A8_FP8,array,generated_4x4_separate,4x4 W4A8 + 4x4 FP8,4,8,3,4,16 INT + 16 FP simultaneous,dual,Full separate array,ARRAY4_SEP_W4A8_FP8__T2p0ns,2.0,500.0,evidence/baseline/ARRAY4_SEP_W4A8_FP8__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
ARRAY4_SEP_W4A8_FP8,array,generated_4x4_separate,4x4 W4A8 + 4x4 FP8,4,8,3,4,16 INT + 16 FP simultaneous,dual,Full separate array,ARRAY4_SEP_W4A8_FP8__T1p0ns,1.0,1000.0,evidence/baseline/ARRAY4_SEP_W4A8_FP8__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
ARRAY4_SEP_W4A8_FP8,array,generated_4x4_separate,4x4 W4A8 + 4x4 FP8,4,8,3,4,16 INT + 16 FP simultaneous,dual,Full separate array,ARRAY4_SEP_W4A8_FP8__T0p9ns,0.9,1111.111111111111,evidence/baseline/ARRAY4_SEP_W4A8_FP8__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
ARRAY4_DUAL_W4A8_FP8,array,generated_4x4_dual,4x4 W4A8/FP8 dual,4,8,3,4,16 INT or 16 FP,dual,Array-level dual-domain,ARRAY4_DUAL_W4A8_FP8__T2p0ns,2.0,500.0,evidence/baseline/ARRAY4_DUAL_W4A8_FP8__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
ARRAY4_DUAL_W4A8_FP8,array,generated_4x4_dual,4x4 W4A8/FP8 dual,4,8,3,4,16 INT or 16 FP,dual,Array-level dual-domain,ARRAY4_DUAL_W4A8_FP8__T1p0ns,1.0,1000.0,evidence/baseline/ARRAY4_DUAL_W4A8_FP8__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
ARRAY4_DUAL_W4A8_FP8,array,generated_4x4_dual,4x4 W4A8/FP8 dual,4,8,3,4,16 INT or 16 FP,dual,Array-level dual-domain,ARRAY4_DUAL_W4A8_FP8__T0p9ns,0.9,1111.111111111111,evidence/baseline/ARRAY4_DUAL_W4A8_FP8__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
