group_id,top_kind,fixed_mode,support_fp8,support_bf16,support_i4_fp8,support_i4_bf16,support_i8_bf16,support_specials,expected_bricks,throughput_contract,comparison_role,notes,run_id,run_dir,clock_period_ns,clock_mhz,top_module,keep_bricks,rtl_input_sha256,library_set_id,mapped_cell_area_um2,combinational_area_um2,noncombinational_area_um2,buf_inv_area_um2,leaf_cell_count,blackbox_count,brick_instance_count_precompile,dw_mult_instance_count_precompile,dw_mult_4x4_rows,other_multiplier_rows,bf16_add_rows,fp32_add_rows,source_bf16_add_instances,source_fp32_add_instances,wns_ns,critical_delay_ns,achieved_fmax_mhz,timing_met,critical_startpoint,critical_endpoint,critical_path_group,critical_path_type,reported_slack_ns,dc_error_count,tool_version,rtl_input_sha256_reported,library_setup_sha256,dc_max_cores,compile_mode_reported,input_transition,output_load,max_transition,clock_uncertainty_ratio,input_delay_ratio,output_delay_ratio,status,report_dir
V2_I4BF16_FIXED,fixed_cluster,5,0,1,0,1,0,0,16,8 I4xBF16 products and four BF16 dot2 accumulations/cycle,mixed_mode_reference,Two bricks per product,V2_I4BF16_FIXED,evidence/runs/V2_I4BF16_FIXED,1.0,1000.0,char_top,0,5842d21a722948a83130b6669d22eff008d553cfdbdad116f599650607a5e93a,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,5589.857,3866.04404,1723.812972,470.378993,10454.0,0.0,16.0,16.0,16,0,16,0,4,0,8.48174e-05,0.9999151826,1000.08482459,1,u_dut/u_bf16_accum/acc_o_reg[3][8],u_dut/u_bf16_accum/acc_o_reg[3][0],clk,max,0.0,0,X-2025.06-SP3,5842d21a722948a83130b6669d22eff008d553cfdbdad116f599650607a5e93a,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_I4BF16_FIXED/reports
V2_I4FP8_FIXED,fixed_cluster,4,1,0,1,0,0,0,16,16 I4xFP8 products and four BF16 dot4 accumulations/cycle,mixed_mode_reference,Native shared brick product,V2_I4FP8_FIXED,evidence/runs/V2_I4FP8_FIXED,1.0,1000.0,char_top,0,1bd28a6107ac228597977e663ed5c3a199205308bf2d3336a753cf5e24efa088,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,8491.392,6209.112063,2282.279963,766.128988,16725.0,0.0,16.0,16.0,16,0,16,0,4,0,7.03335e-05,0.9999296665,1000.07033845,1,u_dut/u_bf16_accum/acc_o_reg[2][11],u_dut/u_bf16_accum/status_o_reg[2][3],clk,max,0.0,0,X-2025.06-SP3,1bd28a6107ac228597977e663ed5c3a199205308bf2d3336a753cf5e24efa088,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_I4FP8_FIXED/reports
V2_I8BF16_FIXED,fixed_cluster,6,0,1,0,0,1,0,16,4 I8xBF16 products and four BF16 accumulations/cycle,mixed_mode_reference,Four bricks per product,V2_I8BF16_FIXED,evidence/runs/V2_I8BF16_FIXED,1.0,1000.0,char_top,0,38aa4521a3206de7fea965b14a4442181384da5b08c61ca748103cb3313d59f1,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,3512.6,2307.487025,1205.112981,266.174996,6195.0,0.0,16.0,16.0,16,0,16,0,4,0,0.000166118,0.999833882,1000.1661456,1,u_dut/u_product_pipe/fp_raw_q_reg[4][12],u_dut/u_product_pipe/bf16_lane_item_o_reg[1][0][14],clk,max,0.0,0,X-2025.06-SP3,38aa4521a3206de7fea965b14a4442181384da5b08c61ca748103cb3313d59f1,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_I8BF16_FIXED/reports
V2_INT_I4I8_FIXED,fixed_cluster,0,0,0,0,0,0,0,16,8 I4xI8 products and four dot2 accumulations/cycle,dedicated_integer_reference,Fixed mode constant propagation,V2_INT_I4I8_FIXED,evidence/runs/V2_INT_I4I8_FIXED,1.0,1000.0,char_top,0,8e0afec2f28eff805c37c357858b3169f49bd4e3b0227deefb9a894fd6e298b3,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,2203.292,1335.334025,867.957986,101.191998,3692.0,0.0,16.0,16.0,16,0,16,0,4,0,0.000632107,0.999367893,1000.63250681,1,u_dut/u_product_pipe/int_lane_sum_o_reg[1][14],u_dut/u_int_accum/acc_o_reg[1][47],clk,max,0.0,0,X-2025.06-SP3,8e0afec2f28eff805c37c357858b3169f49bd4e3b0227deefb9a894fd6e298b3,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_INT_I4I8_FIXED/reports
V2_INT_I8I8_FIXED,fixed_cluster,1,0,0,0,0,0,0,16,4 I8xI8 products and four accumulations/cycle,dedicated_integer_reference,Fixed mode constant propagation,V2_INT_I8I8_FIXED,evidence/runs/V2_INT_I8I8_FIXED,1.0,1000.0,char_top,0,41d536ea28bed30bbaa5754068dd8ed71db90f3bd158bdd71ad013b507da3cae,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,2034.032,1221.402023,812.629987,95.367998,3399.0,0.0,16.0,16.0,16,0,16,0,4,0,0.000274837,0.999725163,1000.27491256,1,u_dut/u_product_pipe/int_lane_sum_o_reg[0][16],u_dut/u_int_accum/acc_o_reg[0][47],clk,max,0.0,0,X-2025.06-SP3,41d536ea28bed30bbaa5754068dd8ed71db90f3bd158bdd71ad013b507da3cae,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_INT_I8I8_FIXED/reports
V2_SEPARATE_FULL_FTZ,separate_full,,1,1,1,1,1,0,48,Integer FP8 and BF16 clusters may execute concurrently,matched_separate_reference,Compare against shared with concurrency declared,V2_SEPARATE_FULL_FTZ,evidence/runs/V2_SEPARATE_FULL_FTZ,1.0,1000.0,char_top,0,b5ffdcddc5b15f7f5ee4247282c4f9c8f340db9299beb519a327ec90c7cff3fa,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,14214.291,9895.24911,4319.041942,1094.729984,26198.0,0.0,48.0,48.0,48,0,32,0,4,0,5.48363e-06,0.99999451637,1000.00548366,1,u_dut/u_fp8/u_product_pipe/bf16_lane_item_o_reg[3][2][3],u_dut/u_fp8/u_bf16_accum/pair23_q_reg[3][6],clk,max,0.0,0,X-2025.06-SP3,b5ffdcddc5b15f7f5ee4247282c4f9c8f340db9299beb519a327ec90c7cff3fa,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_SEPARATE_FULL_FTZ/reports
V2_SHARED_BASE4_FTZ,shared_cluster,,1,1,0,0,0,0,16,Tile-configured base four modes one selected per cycle,shared_ablation_base,Mode registered before data,V2_SHARED_BASE4_FTZ,evidence/runs/V2_SHARED_BASE4_FTZ,1.0,1000.0,char_top,0,196914a65327876b63fb1b6111c31275ea1f99166ebcde824146256d24d6aaab,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,11517.324,8404.032093,3113.291959,935.479987,21806.0,0.0,16.0,16.0,16,0,16,0,4,0,2.98023e-06,0.99999701977,1000.00298024,1,u_dut/u_product_pipe/bf16_lane_item_o_reg[1][0][13],u_dut/u_bf16_accum/status_q1_reg[1][5],clk,max,0.0,0,X-2025.06-SP3,196914a65327876b63fb1b6111c31275ea1f99166ebcde824146256d24d6aaab,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_SHARED_BASE4_FTZ/reports
V2_SHARED_FULL7_FTZ,shared_cluster,,1,1,1,1,1,0,16,All seven modes one selected per cycle,shared_architecture_goal,Must close 1 GHz,V2_SHARED_FULL7_FTZ,evidence/runs/V2_SHARED_FULL7_FTZ,1.0,1000.0,char_top,0,dc99277d3f9b105ddd92429777e090cc9b4b142509ca90e57839690cbd875e54,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,11995.438,8801.884098,3193.553957,949.675986,22937.0,0.0,16.0,16.0,16,0,16,0,4,0,2.65241e-05,0.9999734759,1000.0265248,1,u_dut/u_product_pipe/bf16_lane_item_o_reg[1][3][7],u_dut/u_bf16_accum/status_q1_reg[1][5],clk,max,0.0,0,X-2025.06-SP3,dc99277d3f9b105ddd92429777e090cc9b4b142509ca90e57839690cbd875e54,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_SHARED_FULL7_FTZ/reports
V2_SHARED_FULL7_SPECIAL,shared_cluster,,1,1,1,1,1,1,16,All seven modes plus NaN Inf,special_value_ablation,Not the default product candidate,V2_SHARED_FULL7_SPECIAL,evidence/runs/V2_SHARED_FULL7_SPECIAL,1.0,1000.0,char_top,0,76513a6b434f97111e48099ad2bb132cd98d20d78f8f3ebdc8885190469c1ddb,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,12236.952,8924.188095,3312.763955,983.709986,23527.0,0.0,16.0,16.0,16,0,16,0,4,0,2.33054e-05,0.9999766946,1000.02330594,1,u_dut/u_product_pipe/bf16_lane_item_o_reg[3][2][10],u_dut/u_bf16_accum/pair23_q_reg[3][15],clk,max,0.0,0,X-2025.06-SP3,76513a6b434f97111e48099ad2bb132cd98d20d78f8f3ebdc8885190469c1ddb,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_SHARED_FULL7_SPECIAL/reports
V2_SHARED_PLUS_I4BF16_FTZ,shared_cluster,,1,1,1,1,0,0,16,Base plus I4FP8 plus I4BF16,shared_ablation_i4bf16,Cumulative ablation,V2_SHARED_PLUS_I4BF16_FTZ,evidence/runs/V2_SHARED_PLUS_I4BF16_FTZ,1.0,1000.0,char_top,0,7df403725da27416b14289d42b8a43bfd6e50a38e421d5ccadd03fe42b5fe7dd,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,11975.236,8788.052097,3187.183956,953.406986,22961.0,0.0,16.0,16.0,16,0,16,0,4,0,3.33786e-05,0.9999666214,1000.03337971,1,u_dut/u_bf16_accum/pair23_q_reg[0][8],u_dut/u_bf16_accum/lane_sum_q_reg[0][7],clk,max,0.0,0,X-2025.06-SP3,7df403725da27416b14289d42b8a43bfd6e50a38e421d5ccadd03fe42b5fe7dd,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_SHARED_PLUS_I4BF16_FTZ/reports
V2_SHARED_PLUS_I4FP8_FTZ,shared_cluster,,1,1,1,0,0,0,16,Base plus I4FP8,shared_ablation_i4fp8,Cumulative ablation,V2_SHARED_PLUS_I4FP8_FTZ,evidence/runs/V2_SHARED_PLUS_I4FP8_FTZ,1.0,1000.0,char_top,0,a9f66cc3d6c7014a8825e4f52afd50dd9cad66dff1d941ab2844511098a530af,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,11598.86,8526.245092,3072.614959,936.935986,22218.0,0.0,16.0,16.0,16,0,16,0,4,0,6.75917e-05,0.9999324083,1000.06759627,1,u_dut/u_product_pipe/bf16_lane_item_o_reg[2][1][10],u_dut/u_bf16_accum/pair01_q_reg[2][0],clk,max,0.0,0,X-2025.06-SP3,a9f66cc3d6c7014a8825e4f52afd50dd9cad66dff1d941ab2844511098a530af,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_SHARED_PLUS_I4FP8_FTZ/reports
